id,region,departement,code Departement ,code_INSEE_Commune,ville,nombre_de_Contribuables,moyenne_Actifs_Euros,moyenne_Impot_Euros,annee,code_Region
49,AUVERGNE-RHONE-ALPES,HAUTE-SAVOIE,74,281,THONON-LES-BAINS,94,2182223,9198,2021,1
50,AUVERGNE-RHONE-ALPES,HAUTE-SAVOIE,74,281,THONON-LES-BAINS,102,2127144,8641,2022,1
51,AUVERGNE-RHONE-ALPES,DROME,26,362,VALENCE,61,2458973,10270,2019,1
52,AUVERGNE-RHONE-ALPES,DROME,26,362,VALENCE,61,2405157,9202,2020,1
53,AUVERGNE-RHONE-ALPES,DROME,26,362,VALENCE,68,2460955,9773,2021,1
54,AUVERGNE-RHONE-ALPES,DROME,26,362,VALENCE,76,2511479,10671,2022,1
55,AUVERGNE-RHONE-ALPES,RHONE,69,266,VILLEURBANNE,73,1972216,7135,2019,1
56,AUVERGNE-RHONE-ALPES,RHONE,69,266,VILLEURBANNE,89,2047425,7667,2020,1
57,AUVERGNE-RHONE-ALPES,RHONE,69,266,VILLEURBANNE,96,2076969,7655,2021,1
58,AUVERGNE-RHONE-ALPES,RHONE,69,266,VILLEURBANNE,89,2261237,9103,2022,1
59,BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21,54,BEAUNE,52,2346323,9536,2021,2
60,BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21,54,BEAUNE,51,2416074,9954,2022,2
61,BOURGOGNE-FRANCHE-COMTE,DOUBS,25,56,BESANCON,97,1970040,7082,2019,2
62,BOURGOGNE-FRANCHE-COMTE,DOUBS,25,56,BESANCON,94,2038635,7353,2020,2
63,BOURGOGNE-FRANCHE-COMTE,DOUBS,25,56,BESANCON,102,2051255,7830,2021,2
64,BOURGOGNE-FRANCHE-COMTE,DOUBS,25,56,BESANCON,106,2104686,8156,2022,2
65,BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21,231,DIJON,174,2173765,8786,2019,2
66,BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21,231,DIJON,176,2189934,8714,2020,2
67,BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21,231,DIJON,188,2198908,9221,2021,2
68,BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21,231,DIJON,200,2159030,8599,2022,2
69,BRETAGNE,FINISTERE,29,19,BREST,76,2356790,10278,2019,3
70,BRETAGNE,FINISTERE,29,19,BREST,80,2413798,10697,2020,3
71,BRETAGNE,FINISTERE,29,19,BREST,79,2452426,11760,2021,3
72,BRETAGNE,FINISTERE,29,19,BREST,93,2468531,11583,2022,3
73,BRETAGNE,FINISTERE,29,232,QUIMPER,53,2334000,10441,2022,3
74,BRETAGNE,ILLE-ET-VILAINE,35,238,RENNES,491,2394287,10633,2019,3
75,BRETAGNE,ILLE-ET-VILAINE,35,238,RENNES,514,2437244,11005,2020,3
76,BRETAGNE,ILLE-ET-VILAINE,35,238,RENNES,572,2462023,11004,2021,3
77,BRETAGNE,ILLE-ET-VILAINE,35,238,RENNES,651,2483808,11233,2022,3
78,BRETAGNE,ILLE-ET-VILAINE,35,288,SAINT MALO,148,2260030,10314,2019,3
79,BRETAGNE,ILLE-ET-VILAINE,35,288,SAINT MALO,175,2206337,9449,2020,3
80,BRETAGNE,ILLE-ET-VILAINE,35,288,SAINT MALO,197,2218192,9596,2021,3
81,BRETAGNE,ILLE-ET-VILAINE,35,288,SAINT MALO,238,2260465,9930,2022,3
82,BRETAGNE,MORBIHAN,56,260,VANNES,145,1977304,7194,2019,3
83,BRETAGNE,MORBIHAN,56,260,VANNES,145,2038408,7929,2020,3
84,BRETAGNE,MORBIHAN,56,260,VANNES,188,2021611,7677,2021,3
85,BRETAGNE,MORBIHAN,56,260,VANNES,231,1986573,7523,2022,3
86,CENTRE-VAL DE LOIRE,CHER,18,33,BOURGES,52,2087067,8250,2022,4
87,CENTRE-VAL DE LOIRE,EURE-ET-LOIR,28,85,CHARTRES,88,2274040,10164,2019,4
88,CENTRE-VAL DE LOIRE,EURE-ET-LOIR,28,85,CHARTRES,84,2381736,10929,2020,4
89,CENTRE-VAL DE LOIRE,EURE-ET-LOIR,28,85,CHARTRES,86,2315656,10153,2021,4
90,CENTRE-VAL DE LOIRE,EURE-ET-LOIR,28,85,CHARTRES,96,2337133,10689,2022,4
91,CENTRE-VAL DE LOIRE,LOIRET,45,232,OLIVET,51,2350296,10761,2021,4
92,CENTRE-VAL DE LOIRE,LOIRET,45,232,OLIVET,55,2489825,11836,2022,4
93,CENTRE-VAL DE LOIRE,LOIRET,45,234,ORLEANS,148,2280243,9592,2019,4
94,CENTRE-VAL DE LOIRE,LOIRET,45,234,ORLEANS,141,2347640,9885,2020,4
95,CENTRE-VAL DE LOIRE,LOIRET,45,234,ORLEANS,154,2278514,9334,2021,4
96,CENTRE-VAL DE LOIRE,LOIRET,45,234,ORLEANS,176,2291263,9533,2022,4
97,CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,31,261,TOURS,176,2068887,7743,2019,4
98,CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,31,261,TOURS,181,2106683,8075,2020,4
99,CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,31,261,TOURS,203,2128313,8278,2021,4
100,CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,31,261,TOURS,232,2096669,7992,2022,4
101,CORSE,CORSE-DU-SUD,2A,2A004,AJACCIO,161,2407402,11106,2019,5
102,CORSE,CORSE-DU-SUD,2A,2A004,AJACCIO,162,2465626,11599,2020,5
103,CORSE,CORSE-DU-SUD,2A,2A004,AJACCIO,185,2418990,11216,2021,5
104,CORSE,CORSE-DU-SUD,2A,2A004,AJACCIO,191,2382146,10964,2022,5
105,CORSE,HAUTE-CORSE,2B,2B033,BASTIA,59,2196292,9580,2019,5
106,CORSE,HAUTE-CORSE,2B,2B033,BASTIA,61,2240652,9871,2020,5
107,CORSE,HAUTE-CORSE,2B,2B033,BASTIA,61,2232820,9719,2021,5
108,CORSE,HAUTE-CORSE,2B,2B033,BASTIA,62,2292098,10467,2022,5
109,GRAND-EST,HAUT-RHIN,68,66,COLMAR,85,2539133,11673,2019,6
110,GRAND-EST,HAUT-RHIN,68,66,COLMAR,90,2502878,11356,2020,6
111,GRAND-EST,HAUT-RHIN,68,66,COLMAR,91,2400864,11252,2021,6
112,GRAND-EST,HAUT-RHIN,68,66,COLMAR,94,2376246,11295,2022,6
113,GRAND-EST,MOSELLE,57,463,METZ,131,2142112,8509,2019,6
114,GRAND-EST,MOSELLE,57,463,METZ,129,2175512,8769,2020,6
115,GRAND-EST,MOSELLE,57,463,METZ,131,2288340,9985,2021,6
116,GRAND-EST,MOSELLE,57,463,METZ,134,2280630,9379,2022,6
117,GRAND-EST,HAUT-RHIN,68,224,MULHOUSE,84,2240180,9768,2019,6
118,GRAND-EST,HAUT-RHIN,68,224,MULHOUSE,81,2249483,9727,2020,6
119,GRAND-EST,HAUT-RHIN,68,224,MULHOUSE,84,2275915,9669,2021,6
120,GRAND-EST,HAUT-RHIN,68,224,MULHOUSE,90,2317745,10136,2022,6
121,GRAND-EST,MEURTHE-ET-MOSELLE,54,395,NANCY,184,2314728,8874,2019,6
122,GRAND-EST,MEURTHE-ET-MOSELLE,54,395,NANCY,187,2374111,11623,2020,6
123,GRAND-EST,MEURTHE-ET-MOSELLE,54,395,NANCY,196,2394349,9595,2021,6
124,GRAND-EST,MEURTHE-ET-MOSELLE,54,395,NANCY,210,2406796,9761,2022,6
125,GRAND-EST,MARNE,51,454,REIMS,243,2145815,8335,2019,6
126,GRAND-EST,MARNE,51,454,REIMS,254,2083609,7917,2020,6
127,GRAND-EST,MARNE,51,454,REIMS,258,2157480,8544,2021,6
128,GRAND-EST,MARNE,51,454,REIMS,292,2203260,8888,2022,6
129,GRAND-EST,BAS-RHIN,67,482,STRASBOURG,647,2319361,9763,2019,6
130,GRAND-EST,BAS-RHIN,67,482,STRASBOURG,655,2399379,10165,2020,6
131,GRAND-EST,BAS-RHIN,67,482,STRASBOURG,711,2376319,9950,2021,6
132,GRAND-EST,BAS-RHIN,67,482,STRASBOURG,772,2428332,10243,2022,6
133,GRAND-EST,MOSELLE,57,672,THIONVILLE,63,1935286,6985,2019,6
134,GRAND-EST,MOSELLE,57,672,THIONVILLE,60,2020480,7745,2020,6
135,GRAND-EST,MOSELLE,57,672,THIONVILLE,62,2034484,7826,2021,6
136,GRAND-EST,MOSELLE,57,672,THIONVILLE,67,2295044,10839,2022,6
137,GRAND-EST,AUBE,10,387,TROYES,52,2536332,12912,2021,6
138,GRAND-EST,AUBE,10,387,TROYES,54,2521151,13016,2022,6
139,GUADELOUPE,GUADELOUPE,97,113,LE GOSIER,57,3260706,16404,2022,7
140,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,2,ANTONY,241,1960008,6960,2019,8
141,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,2,ANTONY,257,2015587,7526,2020,8
142,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,2,ANTONY,289,2005014,7384,2021,8
143,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,2,ANTONY,311,2033147,7612,2022,8
144,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,4,ASNIERES,308,2252531,10053,2019,8
